,Position,Description
10,11. Inquisitor,"This position has deservedly got exactly this fateful name, because the woman is in a wholehearted man’s power and that is he who decides when this fight is over. The woman lies comfortably on her back, she opens her legs and bends slightly her knees. The male partner is located between her legs while lying on his belly, his legs are also bent at the knees and are raised up, he holds the buttocks of his mistress with his arms, and as to the rest, it all depends on the flight of his imagination. The man can rack his temptress in that position during long time, not allowing her to feel an orgasm or act more decisively and clearly, bringing her deliberately to ecstasy."
11,12. Whisper,"Very gently and very sweetly caress his penis with your mouth, the male partner will be crazy about your efforts, especially in this position, where he simply lies down and enjoys. The man lies down on the pillow with his back, so that he was in the half-sitting position, arms are stretched along the body, legs are straight, driven apart. The woman lies on her stomach, her face is in front of the male partner’s penis, with her hands she helps to caress his penis, legs are together and bent in knees. The man can move his female partner’s head, take her by hair or just watch the admirable picture."
12,13. Spoon,"This position is particularly relevant in the morning, when your erection makes itself felt, and the female partner is sleeping nearby. It is perfect for awakening morning sex because it is not necessary to make sudden movements, jump, do acrobatics, everything is much easier. The woman lies comfortably on her side; her right leg is slightly bent at the knee. The man is behind her, one arm is around his female partner’s waist or feels her vagina, the man’s legs are along the female’s legs, that is, the left leg is straight and the right is across. If you are not familiar with this comfortable position, now you have the perfect reason for morning sex."
13,14. Tulip,"Here is a very sensible position. The woman drives but the man controls. In this position, the male partner lays down and straddles for the female partner to lay down between his legs and cuddles tightly with her hips leaning on her arms to see her man and to be able to kiss him. This position is very sensible, the bodies are cuddled up to each other, the male partner can touch the woman, kiss her and move his hips in tune to make the penetration deeper."
14,15. Swing,"Going up and down, as if her body floats weightless, a feeling of the hot touch of hands and a burning heat pleasure that penetrates the bodies of the partners do not give back to reality. The man lies on his back and opens his legs. The woman sits on the penis, slightly leaning back, supports herself by the hands placed apart next to the man’s forearms. She bends her knees and throws a leg over the other, so that the right leg is in a free fall. The male partner takes his mistress by the buttocks and helps her move, at the same time he can watch the process."
15,16. Tornado,"Spin your partner in a whirlwind of bright emotions, bring him to the bliss with an unpredictable culmination, drain all his body and in return, you will get so much more. The woman lies on her back, arms and legs are spread sideways, and one leg is bent in knee. The male partner lies on top of the lady a little obliquely, so that his opened, straight legs are under the bent leg of his darling. The man holds the upper part of his body on the straight arm’s length, he penetrates into his lady sideward, it is a very unique position, try it in practice."
16,17. Basset Hound,"From the first touch to the last push your body must burn with desire, this position is only a path to pleasure, and how much delightful your sex will be, it depends on your attitude. The woman stands on all fours, feet together, hands are at shoulder length, support on the palms, the back is slightly arched, the head is thrown back. The man stands on his knees behind his female partner in such a manner, that his legs are between her feet, one hand he puts on her waist, with the other one he takes his darling’s bud and pushes her to the beat of his movements."
17,18. Waterfall,"A cocktail of gentle touches, passionate kisses, burning eyes and unsatisfied desires, you need to drink it together, in this position, and to the last drop. The man ceases on his knees, legs are driven apart, back is straight. The woman with her legs embraces her male partner’s buttocks, feet are stacked crosswise, face to face. The man with his hands takes his darling’s waist, she is fully tilted back, pulling the hands, holding on them, and she is in the position of a half bridge. The male partner performs movements and holds her in this position."
18,19. Sprout,"Desire increases with every moment, the emotional state increases high, a few more seconds and you get nirvana, what can be better? The man lies comfortably on his back. He bends slightly his legs at the knees and opens them not very wide. His mistress sits down on him, with her back to the partner’s face, one arm leans on his chest and the second one leans on his leg. The female partner sits sideward for the left legs of her partner was between her own legs. This position will unconditionally interest those men who like watching the process. As the woman sits down right on him, they are ensured with deep penetrations."
19,20. Wall,"If you love sex in piquant or unusual places, then put this position on notice and just find something to lean on. The man stands with his back to the wall, placing his legs slightly forward and opening them a little. The woman falls in beside, with her back to her chosen one, leaning slightly forward. Her heels should be located near the man’s heels, and her hands are on his thighs. The male partner holds her by her waist and moves his thighs more often and faster. This position may be good in any room of your house, even for sex in clubs and other equally interesting places. If you have never tried sex in the elevator, then, here is a unique opportunity for that!"
20,21. Snowdrop,"Intimate part in any relationship is an important component of them and if you want to refresh your sex, experiment not only with the positions, but also with the places. The woman lies on her stomach, legs are bend at the knees and driven apart, the body is turned to the side. The male partner ceases to his knees between the lady’s legs and puts the upper part of his body on her. Feet of the woman are fixed on the man’s sides, arms are bent in elbows and she caresses her breast with them, arms of her male partner are also bent in elbows, she makes support on them and, accordingly, makes movements."
21,22. Indian Style,"Movements during a sexual intercourse in this position are very similar to dance, it is not a reason to have sex in public, but just another version of diversity of the sexual life. The man is standing, feet are wider than shoulders width. The woman with one hand embraces him behind his back, the other one she puts on his shoulder, leans back, exposing her breast for the male partner’s kisses. The lady throws one leg on the man’s thigh, and the second one she puts between his legs. The male partner also embraces with one hand the woman’s waist with the other one he fondles her breast and neck, with a hand or mouth."
22,23. Book,"It is necessary to learn your partner gradually and completely, every part of his body, every reaction and excitement, only then you will be able to satisfy him completely. The man lies on his back, his head is on a pillow, and the legs are slightly driven apart. The woman sits with her buttocks on his chest, maximum close to his neck and completely leans to his penis. Hands of the female partner lie on his hips, her head is between his legs. The man raises his head and caresses his lady’s crotch, hands are put on her buttocks, or one of them may be used to satisfy the female partner."
23,24. Gorge,"If you have very elegant, slender legs, it will be a huge crime to hide them from your partner. The woman lies comfortably on her back, her head is on the pillow, her legs are bent together and lifted up and she holds her legs in this position. The man sits in front of his female partner on his knees opening slightly his legs with his face in front of the female partner’s face, and his arms are on her thighs. This position is quite extraordinary, such oral sex will differ from the standard options, as the woman’s legs are crossed and the male partner needs not only to caress the crotch of his mistress but also to penetrate into her, discovering new feelings and emotions."
24,25. Sex Slave,"If you wish to prove your fidelity and devotion to your only partner and you are confident with him as with yourself, embody his most secret oral desires and show what a liberated woman can do. The man lies on his back, lifting the upper part of his body on elbows, as well as he lifts his bent knees and opens them. The female partner stands on her knees between his legs and gives oral pleasure to her male partner. Most men like to watch women doing a blowjob, so your male partner, will appreciate this position for sure."
25,26. Binding,"The bodies are in close contact with each other, and even more naked they promise both partners a sea of ​​tenderness and pleasure, to have sex and caress each other this is the highest form of pleasure. The woman lies on her side with legs slightly bent at the knees and spreads them wide apart. The man lies on his side behind his female partner, he puts one leg on her hip and penetrates into his mistress from the back. With his hand the man caresses his woman’s breast, with the second hand he holds his head raised and can be kissing his partner’s neck. The woman puts her hand on his thigh and gently strokes it."
26,27. Rider,"It is impossible to control the situation, when the role of the rider performs a seductive female partner, all power is in the hands of women and the frantic pace brings a couple of fiery climax. The man lays his head on the pillow and stretches his legs in front of him; the woman rides the penis, staying on her haunches. For greater balance, she puts hands on the man’s chest, making some support. The male partner holds his mistress by the legs, but can also feel her heaving breast, stroking the body or simply watch. He will receive satisfaction not in a lesser extent – that’s for sure!"
27,28. Ape,"The woman takes the “wheel” in her hands, she leads completely the process, she sees the aim and doesn’t see any obstacle. The man lies down on his back, puts up his right leg. The female partner site comfortably on his penis. She leans with her back on the elevated leg and puts it on her shoulder. Her legs are gripped in her knees her head is easily thrown back. The male partner can be watching his woman in a half-turn, she chooses herself how to move and the depth of penetration. This position will help diversify the sexual life of any couple, regardless of height and weight, the main thing is incredible desire that is inevitable of predicted result."
28,29. Harmony,"In this position you don’t need to think about anything, disconnect your thoughts, take each other and enjoy your partner, look for harmony in vicinity, in tenderness, savor the time, spent together. The female partner lies her buttocks on a pillow, her head is slightly lowered, legs are bent in knees and driven apart. The male partner is located between the female partner’s feet, his arms are straight, palms are on the edge of the pillow with the main support on them, the male partner’s legs are slightly bent and driven apart. The female partner embraces the male partner’s waist with her legs and closes them in a lock of feet, with her hands on the male partner’s shoulders. Meanwhile the couple can kiss."
29,30. Excavations,"Each position gives partners a new experience, if you like sex from behind, try this not an ordinary version. The woman kneels on all fours; the man stands behind her so that her legs are between his legs. He grips his female partner over the waist, and moving his hips, pulls her closer and closer to him, strengthening the tremors. This position allows the male partner to penetrate very deeply, but if necessary, the woman can take over control and move the buttocks as skillful as he does."
30,31. Clip,"Each person should have his invisible book of intimate relationships and it is very important to “bind” favorite positions, which you will want to use afterwards, and this one will definitely get in your list. The man stands on his knees, legs are driven apart, the back is straight. The woman is setting herself on his penis, face to the male partner, drives the straight legs apart so that her calves were on the male partner’s feet, straight arms are put backwards and pressing on the palms, respectively, bending her whole body. The man holds her buttocks with his hands and moves them to the beat."
31,32. Ecstasy,"This is right in this way that you go crazy because of the eternity, penetrations, touches and even one look. The man lies down on his back horizontally, he bends slightly his legs but without lifting his feet. The woman sits down on him vertically to her male partner, she throws sexily herself back leaning on her arms from one side from the male partner. The man supports his female partner with one arm on her back and his second arm can caress her breast or crotch. The main thing is that the male partner should not loose the possibility to be watching his female partner, it will warm her up for sure."
32,33. Hook,"Put yourself from the best side to your partner, offer him to have sex in front of a mirror. In this position it is so easy to emphasize all your advantages and hide the disadvantages behind the veil of passion. The man is standing, feet are at shoulder length and slightly bent in knees. The woman stands back to him, bends one leg and throws on his thigh, holding with her hands on the male partner buttocks, head is pulled back. The man puts his hands on the woman’s shoulders, he can look at her, enjoy her aroma, see how she is choking with passion."
33,34. Cancer,"If you like kissing during sex, try this position, do not stop to seduce each other in the process of sexual intercourse and your experience will be unbelievable. The woman lies on her side, one leg straight, the other fully bent at the knee and arm bent at the elbow for support. The man is between the legs of his female partner so that one leg is slightly bent and lies next to the straight leg of his female partner, and the other one is on the woman’s lap of bent legs, he penetrates into her from behind. He props himself with his arms, one is near the back and the other on the female partners breast."
34,35. Flame,"Passion in the bodies flames more and more, and you can not cope with your desire anymore; surrender to each other, do not search excuses, there may be not a better occasion. The man stands with his feet on distance, the woman stands with her face to him, she throws one her foot on his thigh’s line, she hugs his neck with one hand and with her second hand, she directs his face to her breast. The man is ready for any turns, he holds her leg on his thigh, he hugs her waist with his free arm and leans forward, bending down to her breast calling and aspiring for caress. He penetrates into the woman when standing, showing how strong his desire is, she trusts her body to the man and that’s what it is."
35,36. Idyll,"Oral sex is another version of intimacy, and if you are completely confident in your partner, close not only physically, but also emotionally, such a position will help you learn new emotions. The man lies on his back, legs are slightly driven apart. The woman lies on top of the man so that her head is between his legs and the crotch is near the male partner’s face. Her legs respectively are driven apart and slightly bent in knees and they are extended beyond the male partner’s head. The woman’s hands are under the male partner’s hips, and his hands are on the lady’s buttocks."
36,37. Cleopatra,"The woman directs and orders, as if she allows her male partner to touch her body, watching it all from the side. The female partner sits on her bent and slightly opened legs and throwing back slightly she leans on her arm. The male partner sits on his knees in front of her, his arms are close to her feet, and his face is in front of the genital area of mistress. In this position the girl leads, she can direct her male partner in the direction he needs to move, and if he knows everything himself, then as an option, she can gently caress her breast."
37,38. Soldier,"If your man is tired and wants to relax, you are the best person to help him with that and make the relaxation process very efficient and effective. It will be enough for the man just to lie on his back and take a comfortable position for him. The woman lies nearby and puts her head at the bottom of his belly, she caresses with one hand his penis and does a blowjob. It is without any doubt that your male partner will be discouraged by this event, but the fact is that he will like the initiative from your side. If you do not have much experience of oral sex, do not worry, the main thing is to be gentle and not to be afraid to experiment."
38,39. Bizet,"You are sweet like a delicious dessert; the bodies are tangled and hot and you want to scream with delight, this position surprisingly combines tenderness and strength, it is impossible to break away. The woman lies on her side, lifts the upper part of her body on the elbow, bends her legs at the knees and presses them a little. The man lies behind, as if his body repeats her silhouette, one his hand holds her by the waist and one leg slips between her legs. The male partner does a back scuttle; he can feel his woman’s breast, her vagina, kiss her neck, earlobes, you can do what you want, so orgasm is inevitable for both."
39,40. Crouching Tiger,"Even if your partner used to take everything in his hands, you should not stand idly. Add a bit of passion, release the claws and show your teeth, he will like it, no doubt. The man lies on his back, his arms are stretched along the body, palms down, legs are slightly bent in knees and driven apart. The woman sits on the penis of the male partner so that her one leg, bent in knee, is placed near the partner side and the second one lies between the man’s side from the other side. The woman’s hand is on the neck of the male partner, and with the second hand she massages his testicles, torso is tilted forward."
40,41. Nun,"In sex, it is important to feel relaxed and behave freely, to go beyond the limits, in which you are driven by life, to enjoy your feelings and desires. The man lies on his back on a pillow, the upper part of his body is in an elevated position, and legs are straight and driven apart. The woman kneels between her male partner’s legs back to him so that her shins are under the man’s hips. Her head is lowered, the arms are straight and located close to her knees. His hands are on the female partner’s buttocks, he moves them in tact with the jerks."
41,42. Fall,"This is a fall of feelings and emotions, a real trap for feelings, which literally make crazy. The woman lies on her back and lifts her kegs up, closing them around her male partners waist. The man is on his knee, he is situated between her legs and presses her hands to the floor, not to let her make any movement. The position allows to penetrate into the woman extremely deep, making shudder her most secret feelings and show that exactly the man is able to control her body, fill it with emotions that you can’t hide."
42,43. Submissive,"To get more pleasure from a sexual contact, it is necessary to alternate tenderness and brutality in sex, caress your partner, change tactics and alternate whip and carrot, it works. A woman stands on one knee and leans forward as much as possible, bending her elbows and making stress on them. The man is located to his female partner so that her stretched leg is between his legs, one hand he puts on her hip of the leg, bent in knee, the other hand is on the back of his darling, which he can stroke in the process."
43,44. Casket,"This position is like a casket with a surprise, it will help you take a fresh look at your partner and enjoy a previously unknown feelings that were lurking in your body. The woman sits, arms are pulled back and placed on the palms, legs are driven apart. The male partner gets on one knee between her legs, she throws her legs on his shoulders, the man holds the lady in this position, with his hands over the knees. The woman takes support on palms in free fall, the man must not only satisfy his lady, but not let her fall."
44,45. Aphrodite,"By caressing tenderly and carefully each other’s bodies the couple plunges into the ocean of passion which guarantees them non-earthy heaven. The man sits down comfortably stretching his legs before himself. The woman is situated in his arms horizontally, for her breast to contact with his chest. The male partner caresses his mistress with one arm and with his second arm he lifts her thighs and pulls her on his penis making one movement after another. The man can kiss the breast or lips of his female partner, and her turn, she has access to his face, neck, hair making the process more sensitive."
45,46. Sagittarius,"Ingenuity makes wonders and helps bring a lot of “raisin” to the intimate life, which will not allow missing to both partners. The man stands, and his female partner stands next to him, but only sideways, getting up at the same time on her toes. The male partner hugs his female partner with one arm around the waist, and with the other arm, he takes her foot and lifts it up, bending in the knee. If necessary, the male partner also puts one foot on toe, leaning on it, he penetrates in his mistress, as if from below and she hugs his neck with one hand for balance, she can caress her body and her crotch with her second hand, that won’t be hidden from the eyes of her excited man."
46,47. Magic Mountain,"It is a lazy version of sex when the woman has a headache. You can simply invite her to watch her favorite TV series and quietly get closer. The female partner lies on her belly, lifts the torso on his elbows, legs slightly pushed, bending one of them. The male partner is behind her so that straight leg of the woman is between his legs. He puts one arm over her buttocks and caresses her crotch with another arm, if he slightly leans forward, puts hand on her breast or holds the hair, and then the couple will have a hard sex."
47,48. Barbell,"Monogamous, boring sex life, often causes unfaithfulness in many couples, so discuss each other’s fantasies, implement them, and your relationship will be even stronger. The man is standing, legs are slightly driven apart and knees are slightly bent. The woman stands with her face to him, legs are straight, one of which she throws in the hands of the male partner in the shoulder area. The man puts one hand, in which her leg is on his darling shoulder, with the other one he embraces her waist. The woman with one hand, bent in elbow under her knee, takes the man’s shoulder, with the other one she hugs his neck."
48,49. Hucklebuck,"In this position, the whole role is given to the man, he must not only satisfy his woman orally but also stimulate his penis with a hand. The position is perfect as a prelude. The man lies on his back, his head is on the pillow. The female partner crouches down backwards over his face, puts her hands on his chest and makes the support on them, she actually takes a fetal position, hiding her head between her knees. At the same time the man caresses crotch of his lady with his mouth, and his penis with a hand and thereby satisfying both himself and her."
49,50. Bullfighter,"In this position, the man has a great opportunity to find the G-spot of his female partner and caress her due to flat position of the female body and maximum its availability. The man sits with feet together and knees slightly bent, his torso slightly leans backward. The woman sits on the shoulders of her male partner for his face to be between her legs and lies back completely, putting the hands on palms at the man’s laps area she supports on them. Her head is thrown back with legs bent at the knees and spread on sides, with his hands the male partner supports her by the buttocks and caresses her crotch."
50,51. Marsh-mallow,"If your male partner is tired at work and you want to reward him for a long hard day, or you just decided to make something nice to him, such a position will help you in this endeavor. The male partner lies on his back, puts his hands along the body, palms down, legs are bent in knees and driven apart. The woman sits between the male partner’s legs on her feet, with her hands she embraces the male partner’s hips and completely leans forward. This is a very comfortable position for oral satisfaction of a man. It can be a good option both for foreplay, and for the full satisfaction of the male partner."
51,52. Creme brulee,"Sex in the morning is a perfect start of a day that promises to be very good and hearty, so catch a position without getting out of bed, have sex in the mornings. The woman lies on her side, her arms are raised up, legs are bent in knees and driven apart. The man throws one bent leg over her thigh, his other leg is straight. With one hand he takes his female partner’s hip and penetrates in her like from behind. This position is very crucial for those men who love while sleeping throw a foot on the woman, that is, you just need to insert the penis and voila."
52,53. Precipice,"It is difficult to restrain the impulses of emotion when making love and this position does not require any control. Just trust each other, and the scales will weight evenly from one to the other side. Man lies on his back and bends the knees. The woman horses the penis in a position facing her male partner, bends her legs and spreads her hands; her back relies on the legs of her male partner and she throws her head back. This position not only offers superb view to the male partner, but also allows him to stroke the breast and crotch of his mistress and enhance the delight."
53,54. Tiara,"The intimate side of life is simply necessary for every person for realization of his secret fantasies. Behave in bed so that the face was blushing, and the body was filled with desire. The man lies on his back, and legs are slightly bent in knees and driven apart. The woman sits between his legs, with her back to the male partner, her legs are straight, pressed together, the head is thrown back, arms and back are also straight, and with her hands she takes the man’s hips under the knees. The partner puts his hands on her waist and like sits her on his penis with each movement."
54,55. Spread Eagle,"If your body is hungry for love and passion, do not hold back your sexual impulses, try to surprise your partner with your toying, empty the cup of his desire and you will be able to satisfy your hunger. The woman lies on her back, hand are crossed on her stomach, legs are straight, raised up and driven apart. The male partner is located on top of the female partner, between her legs, his arms are straight and exposing his palms forward, close to the woman’s shoulders, laying stress on them. The man’s legs are bent in knees and driven apart, literally, he is standing on all fours."
55,56. Turtle,"To pardon or execute, to allow to be at the peak of pleasure or to delay this moment, this time, only man decides. The woman sits on her feet, cuddles tightly her knees to her breast, she lowers her head and stretches her arms forward. The man is on his knees, with his thighs opened behind her, he overhangs the female partner leaning on his arms, that are placed on both sides from her. The woman can not take active part in this position, she surrenders meekly to his partner, allowing him to lead and confiding her body to him. She is leaded by feelings that partner is obliged to provide."
56,57. Slope,"When the couple has sexual desire, it is a great reason to fall into the depth of enjoy and drain it to the dregs. The woman lies on her back and lifts her legs to the breast. The male partner kneels so that her buttocks are between his legs. He takes his woman by the arms just above the elbow, she does the same, and the woman slightly presses against the man’s chest. The male partner penetrates her as if from above, therefore, he penetrates deeply and can watch the emotions of his excited, naked woman."
57,58. Butterfly,"If you are very close with your male partner and enjoy watching yourself from the side, then this position is sure to become one of the most favorite both for you and for your male partner. The man stands straight. The feet are shoulder width apart, the woman turns back to him and he picks her up by the hips so that she is completely “open”. The female partner takes her male partner’s shoulder over his head on the elbow. Perhaps the position is not very comfortable, but standing in front of a mirror you will appreciate all the beauty and merits of your woman."
58,59. Crab,"Feel all the burden of your desire, make an effort and unleash your emotions that have been hiding inside you for long time. The woman lies down with her face, one her leg is straight, the second one is bent and lifted up. The man lies on top to put one leg between her thighs. He slips his hand under her arm to be able to caress his female partner’s face. He leans on his free hand, and his legs are slightly bent at the knees, for better stability. This position is good for men who have strong hands, that it is important for woman not to feel discomfort."
59,60. Victory,"Confident and passionate, you do not need absolutely a bed to love each other, if you entered the house and your desire woke up, take off your clothes and have sex in the doorway. The woman stands with her back to the doorway, her legs are slightly bent at the knees and spread apart. The male partner stands between her legs, with his back to the other doorway and leans back supporting with his back in the wall. The female partner throws her leg over the man’s shoulder, he puts his hand on her hip, and with the other hand he caresses her crotch, she puts one hand on the hand of her partner and with the second one she fondles her breast."
60,61. Speaker,"Another excellent position for lovers of oral pleasures, its distinct advantage is obvious, because both partners are absolutely equal, they both can relax and get pleasure. The woman lies on her back, her legs are closed and slightly bent at the knees. The man lies on his female partner from top for his face to be between her legs, he takes her thighs with his arms and opens slightly his legs apart, opening his private parts desiring for caress to the woman. If the partners know what they do, they both are guaranteed with a lot of pleasure."
61,62. Mast,"If you do not mind to change roles with your female partner in bed, then do not miss a chance to show her how to satisfy your body and if for you the oral sex is a frequent phenomenon, then just go for it. The woman lies on her side, the upper part of the body is raised on one elbow, one leg is slightly bent in knee, with the second hand she takes her straight leg at the thigh and maximum lifts it up. The man lies on his side, with his head on her thigh, with one hand and mouth he can caress the crotch of his female partner, and the second arm is bent in elbow is on the floor for support."
62,63. Croissant,"In this position the woman can swallow the man’s penis very deeply, and the man has an opportunity to lead the process exciting him more and more. The partner lies on his back with legs slightly bent at the knees and spreads them wide apart. The woman stands in front of him on his knees with legs apart, the body leans forward for her head to be between his legs. Hands of his mistress, if the male partner wants that, can caress the man’s penis together with her mouth, he puts his hands on her head and controls the depth and frequency of movement."
63,64. Tango,"As if you are dancing in love passionately, inspired by each other, relaxed and insatiable, and this position perfectly expresses your feelings. The woman lies on her back, extends straight one leg and bends the other at the knee and lifts it up. The man lies on his side huddled close to his female partner, slips his hand under her head and bends it at the elbow in order to have access to the breast of his woman, puts the other hand on her thigh of the bent leg. The man’s left leg is lying along the extended leg of the female partner and his right leg is pushed between the lifted woman’s leg. He penetrates from below and pushes deeply; the position is perfect for insatiable partners."
64,65. Case,"This position is suitable for role-playing game in which you can imagine that you are in a confined space and limited in movements, but how this can be an obstacle for sex ?! The woman lies on her back, bends her knees, hips and pressed and shins are driven apart. The male partner lies on his back, too, so that the woman is between his legs, and her feet are under the man’s hands. The lady bends her arms in elbows, making the support on them, with her hands she takes her male partner’s shins and slightly raises the upper part of her body. Man’s hands are on the male partner’s hips."
65,66. Rose,"Here is a comfortable and practical position, your man undoubtedly will like it, experiment with pleasure. The woman controls the whole process. The male partner should just lie on his back, open his legs to the side, slightly lift the knees and close the feet forming a “petal”. The woman sits on the penis with her back to the male partner, as if she sits on a chair with hands bearing against her male partner’s hips, and he helps her, holding his mistress under the breast, who he can easily feel or just watch the body of his desirable woman twist over him."
66,67. Missionary,"The bodies are bound up, they are sensitive and interrelated, and every movement revoices in the partner’s body. The woman lies on her back and the man is positioned on her opening her thighs with his ones on sides. The female partner embraces his buttocks with her legs and her hands have free access to the man’s back. The partner is not inactive, he can caress her neck, kissing passionately and watching her emotions. In spite of the fact the man is on top, this time, the woman has also right of vote. Don’t forget to take precautions, because your lady can just not let you go in the most responsible moment."
67,68. Bulldog,"Go off the deep end, you can just not only fall into the arms of the desired person, need to do it to be devoted to the maximum and receive no less in return. The woman gets on all fours and opens her legs slightly apart. The man takes almost the same position, bends over the woman standing at his hands and legs, and kneels slightly. The male partner practically hangs over his woman, and in the process of sexual intercourse, if she turns her head a little, the couple can kiss freely each other’s lips."
68,69. Bud,"Between two experienced partners who take care of each other’s feelings there just can not be losers, they are definitely in a profitable position. The woman lies down on her back, bends her legs and presses her knees tight to her breast. The man sits down behind the woman and places her left footstep on his left shoulder making a support, and the right leg is put freely on his shoulder. Hands of the female partner are on his thighs, he exercises movements on swinging. They set an eye contact as eyes of the partners are directed on each other."
69,70. Mermaid,"Represent yourself as if you were fabulous, airy creature, add a bit of femininity, tenderness, grace, skills, enchant your partner and drink him to the bottom. The man is standing, with feet together, slightly bent in knees. The woman stands back to him, the partner takes her stomach and lifts. The woman pulls her hands back, bends them in elbows and makes a lock under the man’s arms, she also bends the legs in knees and presses them to the male partner’s hips in such a manner, that her feet were under his buttocks. This position is complicated and very unusual."
70,71. Lazy Dog,"The positions, in which the man is on top, can be completely of different options, this is one of them and it is absolutely not difficult, only the male partner must be of not very big weight category. The woman lies on her stomach, arms are bent in elbows, legs are driven wide apart, one is bent at the knee. The male partner lies on top of his lady, facing the back of her head, he completely simulates her position and covers the woman with his body, his legs are bent at the knees, and he is supporting on them. If necessary, the man can also make support on his hands for the woman to feel more comfortable."
71,72. Workout,"This position is relevant to men with good physical preparation and women with long legs. Of course there are no restrictions, but be careful, watch out for balance. The man is standing, feet are slightly wider the shoulders width and knees are slightly bent. The woman gets on her male partner hands, embraces his buttocks with her feet and crosses them, with her arms she hugs the man’s neck, so that his face is maximum close to her neck and breast, her head is slightly tilted back. The male partner also embraces her around the waist or with one hand he can support the woman’s buttocks."
72,73. Yin-Yang,"Here’s a very interesting and convenient option of 69 position. If you practice oral sex with your partner, be sure to note it. The woman lies on her back and fully raises the straight legs up, takes her ankles with her hands, and drives them apart as much as possible and presses to the body. The man sits down on his knees so that the girl’s head was between his legs, driven apart, he completely leans forward until his head is near the crotch of the female partner. With his hands he is hugging her at her back, without letting to lay completely."
